Step;TotalFishCaught;AverageFishCaughtPerDolphin;AverageDistanceToFish
0;2;0.1;5.197724225508186
1;3;0.15;4.945368996150015
2;5;0.25;4.739218520452579
3;5;0.25;4.42306750384113
4;6;0.3;4.121902309946508
5;8;0.4;4.280616828205655
6;9;0.45;4.46989674471331
7;12;0.6;4.120829456826215
8;13;0.65;4.920026014980605
9;15;0.75;4.83374783678526
10;17;0.85;5.183640697530784
11;17;0.85;5.245650936926803
12;17;0.85;4.889706049017184
13;17;0.85;4.3081976630517484
14;18;0.9;3.8793111345416698
15;20;1.0;3.741097093141309
16;20;1.0;3.9349094391160575
17;23;1.15;3.735359961067606
18;23;1.15;4.596049351905625
19;23;1.15;4.148581922441218
20;23;1.15;3.6972938139585367
21;24;1.2;3.223095948958516
22;25;1.25;4.179084975038739
23;25;1.25;5.477803399467762
24;25;1.25;5.020019333230484
25;25;1.25;4.58390036703039
26;26;1.3;4.3565276569960805
27;26;1.3;4.046947345327609
28;26;1.3;3.785919429705296
29;27;1.35;3.764340165589386
30;28;1.4;3.8484498878320217
31;29;1.45;4.1520809790741025
32;30;1.5;4.036582748869015
33;30;1.5;4.637529081454882
34;31;1.55;4.237087576103198
35;31;1.55;3.894958987561387
36;32;1.6;3.6590426213401295
37;33;1.65;3.78687500521539
38;33;1.65;5.131077340351659
39;33;1.65;4.788324913157208
40;33;1.65;4.631557030609987
41;34;1.7;4.366772277217565
42;34;1.7;4.153076694941827
43;35;1.75;3.9011293187784224
44;36;1.8;4.690473617773867
45;36;1.8;5.366918516790723
46;37;1.85;5.232682314004569
47;37;1.85;2.87345747349298
48;37;1.85;6.507062824865952
49;37;1.85;5.194261018613629
50;38;1.9;3.9295703518413574
51;39;1.95;3.7278368249976603
52;39;1.95;6.867363973676051
53;39;1.95;6.520262433026716
54;39;1.95;4.629735535406185
55;39;1.95;4.215418623158719
56;39;1.95;4.307911218573493
57;40;2.0;4.381262901092666
58;42;2.1;5.479367916466608
59;42;2.1;5.587760821997444
60;43;2.15;5.582667270697977
61;43;2.15;5.4222171202659215
62;43;2.15;5.235390015231121
