Step;TotalFishCaught;AverageFishCaughtPerDolphin;AverageDistanceToFish
0;0;0.0;5.0515960817967835
1;0;0.0;4.489863624414963
2;0;0.0;3.624894717834242
3;1;0.2;3.3420520053596228
4;1;0.2;4.544580191600986
5;1;0.2;4.084596114923647
6;1;0.2;3.809899159094079
7;1;0.2;3.06538012544047
8;2;0.4;2.79148346584763
9;2;0.4;3.214213562373095
10;2;0.4;3.630766068432739
11;2;0.4;4.18830279864771
12;2;0.4;4.3634675599611885
13;2;0.4;4.360822376407316
14;2;0.4;4.077979663932696
15;2;0.4;3.0524811049912737
16;2;0.4;2.320362858047347
17;2;0.4;1.612899020449196
18;3;0.6;1.248528137423857
19;3;0.6;1.315298244508295
20;4;0.8;1.412899020449196
21;5;1.0;2.178584445398434
22;5;1.0;2.320362858047347
23;5;1.0;1.79030655007277
24;6;1.2;1.79030655007277
25;6;1.2;2.3313708498984758
26;6;1.2;2.178584445398434
27;7;1.4;2.0957417329238153
28;7;1.4;2.3785844453984337
29;7;1.4;2.261427157873053
30;8;1.6;2.261427157873053
31;9;1.8;1.8970562748477142
32;10;2.0;2.7798989873223325
33;10;2.0;3.4221194975079285
34;10;2.0;2.697561228867536
35;10;2.0;2.214213562373095
36;11;2.2;1.731370849898476
37;12;2.4;3.009594316407816
38;12;2.4;2.547753776541971
39;13;2.6;3.796566355295279
40;13;2.6;3.2951972318306284
41;13;2.6;2.834017465091652
42;13;2.6;2.4466690944067713
43;13;2.6;1.5313708498984762
44;13;2.6;1.6485281374238567
45;14;2.8;1.765685424949238
46;15;3.0;3.8395488003198346
47;15;3.0;4.455871880218346
48;15;3.0;3.829398219126373
49;15;3.0;3.442049848441491
50;15;3.0;3.2449070816933854
51;15;3.0;2.9713202223643984
52;15;3.0;2.408403811325377
53;15;3.0;2.448528137423857
54;15;3.0;2.565685424949238
55;15;3.0;2.765685424949238
56;16;3.2;2.2485281374238575
57;17;3.4;2.3073262114491118
58;18;3.6;2.051166563067375
59;18;3.6;1.412899020449196
60;18;3.6;1.248528137423857
61;18;3.6;1.365685424949238
62;18;3.6;1.082842712474619
63;19;3.8;0.882842712474619
64;20;4.0;1.565685424949238
65;22;4.4;3.827016935313818
66;22;4.4;4.02924963760451
67;22;4.4;4.06133151036458
68;22;4.4;4.296180593448944
69;22;4.4;3.9013956419186067
70;22;4.4;4.318296347797281
71;22;4.4;3.852867504494749
72;22;4.4;3.7357102169693683
73;22;4.4;3.4613315103645794
74;22;4.4;3.5464069251298893
75;22;4.4;3.2828427124746193
76;22;4.4;3.1656854249492383
77;22;4.4;3.4
